Elitism Count,Tournament Size,Crossover Method,Best Fitness (nsat)
0,2,single_point,136028
0,2,single_point,135523
0,2,single_point,135581
0,2,single_point,135603
0,2,single_point,135863
0,2,single_point,135592
0,2,single_point,135743
0,2,single_point,135655
0,2,single_point,135602
0,2,single_point,135652
0,2,single_point,135847
0,2,single_point,135619
0,2,single_point,135831
0,2,single_point,135704
0,2,single_point,135635
0,2,single_point,135666
0,2,single_point,135559
0,2,single_point,135623
0,2,single_point,135900
0,2,single_point,135481
0,2,single_point,135700
0,2,single_point,135633
0,2,single_point,135530
0,2,single_point,135496
0,2,single_point,135704
0,2,single_point,135619
0,2,single_point,135639
0,2,single_point,135437
0,2,single_point,135582
0,2,single_point,135762
0,2,uniform,135743
0,2,uniform,135574
0,2,uniform,135518
0,2,uniform,135907
0,2,uniform,135824
0,2,uniform,135722
0,2,uniform,135664
0,2,uniform,135761
0,2,uniform,135651
0,2,uniform,135773
0,2,uniform,135661
0,2,uniform,135454
0,2,uniform,135635
0,2,uniform,135833
0,2,uniform,135530
0,2,uniform,135655
0,2,uniform,135514
0,2,uniform,135709
0,2,uniform,135458
0,2,uniform,135610
0,2,uniform,135481
0,2,uniform,135674
0,2,uniform,135629
0,2,uniform,135485
0,2,uniform,135803
0,2,uniform,135653
0,2,uniform,135737
0,2,uniform,136007
0,2,uniform,135748
0,2,uniform,135677
0,3,single_point,135673
0,3,single_point,135975
0,3,single_point,135918
0,3,single_point,135740
0,3,single_point,135936
0,3,single_point,135874
0,3,single_point,135703
0,3,single_point,135753
0,3,single_point,135715
0,3,single_point,135781
0,3,single_point,135703
0,3,single_point,135740
0,3,single_point,135551
0,3,single_point,135766
0,3,single_point,135616
0,3,single_point,135577
0,3,single_point,135889
0,3,single_point,135899
0,3,single_point,135849
0,3,single_point,135776
0,3,single_point,135651
0,3,single_point,135747
0,3,single_point,135605
0,3,single_point,135810
0,3,single_point,135972
0,3,single_point,135825
0,3,single_point,135820
0,3,single_point,135947
0,3,single_point,135564
0,3,single_point,135757
0,3,uniform,135679
0,3,uniform,135838
0,3,uniform,135751
0,3,uniform,135601
0,3,uniform,135850
0,3,uniform,135990
0,3,uniform,135860
0,3,uniform,135634
0,3,uniform,135766
0,3,uniform,135797
0,3,uniform,135649
0,3,uniform,135793
0,3,uniform,135821
0,3,uniform,135918
0,3,uniform,135627
0,3,uniform,135677
0,3,uniform,135761
0,3,uniform,135691
0,3,uniform,135836
0,3,uniform,135792
0,3,uniform,135794
0,3,uniform,135696
0,3,uniform,135762
0,3,uniform,135770
0,3,uniform,135636
0,3,uniform,135835
0,3,uniform,135658
0,3,uniform,135550
0,3,uniform,135812
0,3,uniform,135892
0,5,single_point,135704
0,5,single_point,135959
0,5,single_point,135851
0,5,single_point,136076
0,5,single_point,135861
0,5,single_point,135739
0,5,single_point,135736
0,5,single_point,135964
0,5,single_point,135704
0,5,single_point,135890
0,5,single_point,135668
0,5,single_point,135712
0,5,single_point,136027
0,5,single_point,135810
0,5,single_point,135670
0,5,single_point,135918
0,5,single_point,136061
0,5,single_point,135867
0,5,single_point,135935
0,5,single_point,135647
0,5,single_point,135696
0,5,single_point,136090
0,5,single_point,135800
0,5,single_point,135776
0,5,single_point,135832
0,5,single_point,135962
0,5,single_point,135944
0,5,single_point,135931
0,5,single_point,136080
0,5,single_point,135858
0,5,uniform,135970
0,5,uniform,135976
0,5,uniform,135882
0,5,uniform,135913
0,5,uniform,135877
0,5,uniform,135820
0,5,uniform,135998
0,5,uniform,135939
0,5,uniform,135868
0,5,uniform,135851
0,5,uniform,135844
0,5,uniform,135832
0,5,uniform,135921
0,5,uniform,135891
0,5,uniform,136003
0,5,uniform,135919
0,5,uniform,135886
0,5,uniform,135857
0,5,uniform,135827
0,5,uniform,135824
0,5,uniform,135718
0,5,uniform,136026
0,5,uniform,135799
0,5,uniform,135944
0,5,uniform,136144
0,5,uniform,136076
0,5,uniform,135950
0,5,uniform,135866
0,5,uniform,135688
0,5,uniform,135785
1,2,single_point,135849
1,2,single_point,135840
1,2,single_point,135309
1,2,single_point,135657
1,2,single_point,135760
1,2,single_point,135681
1,2,single_point,135650
1,2,single_point,135792
1,2,single_point,135646
1,2,single_point,135731
1,2,single_point,135718
1,2,single_point,135625
1,2,single_point,135629
1,2,single_point,135852
1,2,single_point,136039
1,2,single_point,135426
1,2,single_point,135678
1,2,single_point,135601
