Population Size,Mutation Rate,Crossover Rate,Satisfied Clauses
50,0.01,0.6,135823
50,0.01,0.6,135684
50,0.01,0.6,135679
50,0.01,0.6,135623
50,0.01,0.6,135636
50,0.01,0.6,135565
50,0.01,0.6,135410
50,0.01,0.6,135916
50,0.01,0.6,135610
50,0.01,0.6,135916
50,0.01,0.6,135905
50,0.01,0.6,135599
50,0.01,0.6,135568
50,0.01,0.6,135947
50,0.01,0.6,135701
50,0.01,0.6,135671
50,0.01,0.6,135750
50,0.01,0.6,135722
50,0.01,0.6,135549
50,0.01,0.6,135829
50,0.01,0.6,135682
50,0.01,0.6,135672
50,0.01,0.6,135823
50,0.01,0.6,135754
50,0.01,0.6,135820
50,0.01,0.6,135837
50,0.01,0.6,135580
50,0.01,0.6,135724
50,0.01,0.6,135666
50,0.01,0.6,135713
50,0.01,0.6,135812
50,0.01,0.6,135669
50,0.01,0.6,135837
50,0.01,0.6,135612
50,0.01,0.6,135802
50,0.01,0.6,135756
50,0.01,0.6,135657
50,0.01,0.6,135685
50,0.01,0.6,135761
50,0.01,0.6,135745
50,0.01,0.6,135536
50,0.01,0.6,135753
50,0.01,0.6,135603
50,0.01,0.6,135625
50,0.01,0.6,135616
50,0.01,0.6,135860
50,0.01,0.6,135623
50,0.01,0.6,135740
50,0.01,0.6,135634
50,0.01,0.6,135645
50,0.01,0.6,135600
50,0.01,0.6,135795
50,0.01,0.6,135970
50,0.01,0.6,136054
50,0.01,0.6,135719
50,0.01,0.6,135778
50,0.01,0.6,135834
50,0.01,0.6,135857
50,0.01,0.6,135746
50,0.01,0.6,135676
50,0.01,0.6,136121
50,0.01,0.6,135761
50,0.01,0.6,135785
50,0.01,0.6,135617
50,0.01,0.6,135853
50,0.01,0.6,135926
50,0.01,0.6,135971
50,0.01,0.6,135851
50,0.01,0.6,135755
50,0.01,0.6,135670
50,0.01,0.6,135595
50,0.01,0.6,135581
50,0.01,0.6,135832
50,0.01,0.6,135591
50,0.01,0.6,135878
50,0.01,0.6,136164
50,0.01,0.6,135795
50,0.01,0.6,135884
50,0.01,0.6,136079
50,0.01,0.6,135732
50,0.01,0.6,135962
50,0.01,0.6,135892
50,0.01,0.6,135910
50,0.01,0.6,135816
50,0.01,0.6,135958
50,0.01,0.6,135951
50,0.01,0.6,135802
50,0.01,0.6,136045
50,0.01,0.6,135982
50,0.01,0.6,135887
50,0.01,0.6,136019
50,0.01,0.6,135983
50,0.01,0.6,135905
50,0.01,0.6,136079
50,0.01,0.6,136068
50,0.01,0.6,135821
50,0.01,0.6,135982
50,0.01,0.6,136156
50,0.01,0.6,135916
50,0.01,0.6,135821
50,0.01,0.85,136143
50,0.01,0.85,136014
50,0.01,0.85,135789
50,0.01,0.85,136089
50,0.01,0.85,136062
50,0.01,0.85,136056
50,0.01,0.85,135848
50,0.01,0.85,135762
50,0.01,0.85,135964
50,0.01,0.85,136030
50,0.01,0.85,136044
50,0.01,0.85,135990
50,0.01,0.85,136018
50,0.01,0.85,135927
50,0.01,0.85,136202
50,0.01,0.85,135878
50,0.01,0.85,135765
50,0.01,0.85,135810
50,0.01,0.85,135957
50,0.01,0.85,135966
50,0.01,0.85,135967
50,0.01,0.85,136110
50,0.01,0.85,135981
50,0.01,0.85,135918
50,0.01,0.85,136127
50,0.01,0.85,135980
50,0.01,0.85,136076
50,0.01,0.85,135971
50,0.01,0.85,135955
50,0.01,0.85,135967
50,0.01,0.85,135774
50,0.01,0.85,136134
50,0.01,0.85,136131
50,0.01,0.85,135997
50,0.01,0.85,136034
50,0.01,0.85,135990
50,0.01,0.85,135954
50,0.01,0.85,136255
50,0.01,0.85,136010
50,0.01,0.85,136113
50,0.01,0.85,136003
50,0.01,0.85,136138
50,0.01,0.85,136215
50,0.01,0.85,136061
50,0.01,0.85,136179
50,0.01,0.85,136094
50,0.01,0.85,136034
50,0.01,0.85,135891
50,0.01,0.85,136188
50,0.01,0.85,136047
50,0.01,0.85,136301
50,0.01,0.85,135814
50,0.01,0.85,135940
