python3 lab_2.py -question 3 -wdimacs example.wcnf -time_budget 1 -repetitions 2
Clauses loaded...
Debug: Running first generation...
Debug: Generation 1, Pop Size 100, Total Evaluations 100
Debug: Generation 2, Pop Size 100, Total Evaluations 200
Debug: Generation 3, Pop Size 100, Total Evaluations 300
Debug: Generation 4, Pop Size 100, Total Evaluations 400
Debug: Generation 5, Pop Size 100, Total Evaluations 500
Debug: Generation 6, Pop Size 100, Total Evaluations 600
Debug: Generation 7, Pop Size 100, Total Evaluations 700
Debug: Generation 8, Pop Size 100, Total Evaluations 800
Debug: Generation 9, Pop Size 100, Total Evaluations 900
Debug: Generation 10, Pop Size 100, Total Evaluations 1000
Debug: Generation 11, Pop Size 100, Total Evaluations 1100
Debug: Generation 12, Pop Size 100, Total Evaluations 1200
Debug: Generation 13, Pop Size 100, Total Evaluations 1300
Debug: Generation 14, Pop Size 100, Total Evaluations 1400
Debug: Generation 15, Pop Size 100, Total Evaluations 1500
Debug: Generation 16, Pop Size 100, Total Evaluations 1600
Debug: Generation 17, Pop Size 100, Total Evaluations 1700
Debug: Generation 18, Pop Size 100, Total Evaluations 1800
Debug: Generation 19, Pop Size 100, Total Evaluations 1900
Debug: Generation 20, Pop Size 100, Total Evaluations 2000
Debug: Generation 21, Pop Size 100, Total Evaluations 2100
Debug: Generation 22, Pop Size 100, Total Evaluations 2200
Debug: Generation 23, Pop Size 100, Total Evaluations 2300
Debug: Generation 24, Pop Size 100, Total Evaluations 2400
Debug: Generation 25, Pop Size 100, Total Evaluations 2500
Debug: Generation 26, Pop Size 100, Total Evaluations 2600
Debug: Generation 27, Pop Size 100, Total Evaluations 2700
Debug: Generation 28, Pop Size 100, Total Evaluations 2800
Debug: Generation 29, Pop Size 100, Total Evaluations 2900
Debug: Generation 30, Pop Size 100, Total Evaluations 3000
Debug: Generation 31, Pop Size 100, Total Evaluations 3100
Debug: Generation 32, Pop Size 100, Total Evaluations 3200
Debug: Generation 33, Pop Size 100, Total Evaluations 3300
Debug: Generation 34, Pop Size 100, Total Evaluations 3400
Debug: Generation 35, Pop Size 100, Total Evaluations 3500
Debug: Generation 36, Pop Size 100, Total Evaluations 3600
Debug: Generation 37, Pop Size 100, Total Evaluations 3700
Debug: Generation 38, Pop Size 100, Total Evaluations 3800
Debug: Generation 39, Pop Size 100, Total Evaluations 3900
Debug: Generation 40, Pop Size 100, Total Evaluations 4000
Debug: Generation 41, Pop Size 100, Total Evaluations 4100
Debug: Generation 42, Pop Size 100, Total Evaluations 4200
Debug: Generation 43, Pop Size 100, Total Evaluations 4300
Debug: Generation 44, Pop Size 100, Total Evaluations 4400
Debug: Generation 45, Pop Size 100, Total Evaluations 4500
Debug: Generation 46, Pop Size 100, Total Evaluations 4600
Debug: Generation 47, Pop Size 100, Total Evaluations 4700
Debug: Generation 48, Pop Size 100, Total Evaluations 4800
Debug: Generation 49, Pop Size 100, Total Evaluations 4900
Debug: Generation 50, Pop Size 100, Total Evaluations 5000
Debug: Generation 51, Pop Size 100, Total Evaluations 5100
Debug: Generation 52, Pop Size 100, Total Evaluations 5200
Debug: Generation 53, Pop Size 100, Total Evaluations 5300
Debug: Generation 54, Pop Size 100, Total Evaluations 5400
Debug: Generation 55, Pop Size 100, Total Evaluations 5500
Debug: Generation 56, Pop Size 100, Total Evaluations 5600
Debug: Generation 57, Pop Size 100, Total Evaluations 5700
Debug: Generation 58, Pop Size 100, Total Evaluations 5800
Debug: Generation 59, Pop Size 100, Total Evaluations 5900
Debug: Generation 60, Pop Size 100, Total Evaluations 6000
Debug: Generation 61, Pop Size 100, Total Evaluations 6100
Debug: Generation 62, Pop Size 100, Total Evaluations 6200
Debug: Generation 63, Pop Size 100, Total Evaluations 6300
Debug: Generation 64, Pop Size 100, Total Evaluations 6400
Debug: Generation 65, Pop Size 100, Total Evaluations 6500
Debug: Generation 66, Pop Size 100, Total Evaluations 6600
Debug: Generation 67, Pop Size 100, Total Evaluations 6700
Debug: Generation 68, Pop Size 100, Total Evaluations 6800
Debug: Generation 69, Pop Size 100, Total Evaluations 6900
Debug: Generation 70, Pop Size 100, Total Evaluations 7000
Debug: Generation 71, Pop Size 100, Total Evaluations 7100
Debug: Generation 72, Pop Size 100, Total Evaluations 7200
Debug: Generation 73, Pop Size 100, Total Evaluations 7300
Debug: Generation 74, Pop Size 100, Total Evaluations 7400
Debug: Generation 75, Pop Size 100, Total Evaluations 7500
Debug: Generation 76, Pop Size 100, Total Evaluations 7600
Debug: Generation 77, Pop Size 100, Total Evaluations 7700
Debug: Generation 78, Pop Size 100, Total Evaluations 7800
Debug: Generation 79, Pop Size 100, Total Evaluations 7900
Debug: Generation 80, Pop Size 100, Total Evaluations 8000
Debug: Generation 81, Pop Size 100, Total Evaluations 8100
Debug: Generation 82, Pop Size 100, Total Evaluations 8200
Debug: Generation 83, Pop Size 100, Total Evaluations 8300
Debug: Generation 84, Pop Size 100, Total Evaluations 8400
Debug: Generation 85, Pop Size 100, Total Evaluations 8500
Debug: Generation 86, Pop Size 100, Total Evaluations 8600
Debug: Generation 87, Pop Size 100, Total Evaluations 8700
Debug: Generation 88, Pop Size 100, Total Evaluations 8800
Debug: Generation 89, Pop Size 100, Total Evaluations 8900
Debug: Generation 90, Pop Size 100, Total Evaluations 9000
Debug: Generation 91, Pop Size 100, Total Evaluations 9100
Debug: Generation 92, Pop Size 100, Total Evaluations 9200
Debug: Generation 93, Pop Size 100, Total Evaluations 9300
Debug: Generation 94, Pop Size 100, Total Evaluations 9400
Debug: Generation 95, Pop Size 100, Total Evaluations 9500
Debug: Generation 96, Pop Size 100, Total Evaluations 9600
Debug: Generation 97, Pop Size 100, Total Evaluations 9700
Debug: Generation 98, Pop Size 100, Total Evaluations 9800
Debug: Generation 99, Pop Size 100, Total Evaluations 9900
Debug: Generation 100, Pop Size 100, Total Evaluations 10000
Generation: 100, Best fitness: 1.8
Debug: Generation 101, Pop Size 100, Total Evaluations 10100
Debug: Generation 102, Pop Size 100, Total Evaluations 10200
Debug: Generation 103, Pop Size 100, Total Evaluations 10300
Debug: Generation 104, Pop Size 100, Total Evaluations 10400
Debug: Generation 105, Pop Size 100, Total Evaluations 10500
Debug: Generation 106, Pop Size 100, Total Evaluations 10600
Debug: Generation 107, Pop Size 100, Total Evaluations 10700
Debug: Generation 108, Pop Size 100, Total Evaluations 10800
Debug: Generation 109, Pop Size 100, Total Evaluations 10900
Debug: Generation 110, Pop Size 100, Total Evaluations 11000
Debug: Generation 111, Pop Size 100, Total Evaluations 11100
Debug: Generation 112, Pop Size 100, Total Evaluations 11200
Debug: Generation 113, Pop Size 100, Total Evaluations 11300
Debug: Generation 114, Pop Size 100, Total Evaluations 11400
Debug: Generation 115, Pop Size 100, Total Evaluations 11500
Debug: Generation 116, Pop Size 100, Total Evaluations 11600
Debug: Generation 117, Pop Size 100, Total Evaluations 11700
Debug: Generation 118, Pop Size 100, Total Evaluations 11800
Debug: Generation 119, Pop Size 100, Total Evaluations 11900
Debug: Generation 120, Pop Size 100, Total Evaluations 12000
Debug: Generation 121, Pop Size 100, Total Evaluations 12100
Debug: Generation 122, Pop Size 100, Total Evaluations 12200
Debug: Generation 123, Pop Size 100, Total Evaluations 12300
Debug: Generation 124, Pop Size 100, Total Evaluations 12400
Debug: Generation 125, Pop Size 100, Total Evaluations 12500
Debug: Generation 126, Pop Size 100, Total Evaluations 12600
Debug: Generation 127, Pop Size 100, Total Evaluations 12700
Debug: Generation 128, Pop Size 100, Total Evaluations 12800
Debug: Generation 129, Pop Size 100, Total Evaluations 12900
Debug: Generation 130, Pop Size 100, Total Evaluations 13000
Debug: Generation 131, Pop Size 100, Total Evaluations 13100
Debug: Generation 132, Pop Size 100, Total Evaluations 13200
Debug: Generation 133, Pop Size 100, Total Evaluations 13300
Debug: Generation 134, Pop Size 100, Total Evaluations 13400
Debug: Generation 135, Pop Size 100, Total Evaluations 13500
Debug: Generation 136, Pop Size 100, Total Evaluations 13600
Debug: Generation 137, Pop Size 100, Total Evaluations 13700
